,song_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Like a Rolling Stone,0.482,0.721,0,-6.839,1,0.731,0.0,0.189,0.557,95.263,369600,4
1,Smells Like Teen Spirit,0.485,0.863,1,-9.027,1,1.22e-05,0.0162,0.138,0.767,116.835,300977,4
2,A Day In The Life - Remastered,0.364,0.457,4,-14.162,0,0.29,0.000106,0.922,0.175,163.219,337413,4
3,Good Vibrations (Mono),0.398,0.413,1,-10.934,1,0.0822,2.54e-05,0.0891,0.331,133.574,219147,4
4,Johnny B Goode,0.518,0.756,10,-10.851,1,0.735,6.2e-05,0.317,0.968,166.429,160893,4
5,Respect,0.805,0.558,0,-5.226,1,0.164,2.2e-05,0.0546,0.965,114.95,147600,4
6,Be My Baby,0.511,0.769,4,-7.032,1,0.181,0.0,0.0921,0.818,129.657,160907,4
7,What's Going On,0.282,0.716,1,-9.632,0,0.451,0.0,0.399,0.83,201.958,233000,4
8,I Heard It Through The Grapevine,0.729,0.324,8,-13.017,0,0.195,0.0,0.101,0.679,116.855,195267,4
9,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,0.725,0.853,2,-7.842,1,0.0348,0.127,0.196,0.904,136.282,222813,4
10,Billie Jean,0.92,0.654,11,-3.051,0,0.0236,0.0153,0.036,0.847,117.046,293827,4
11,Heartbreak Hotel,0.688,0.223,4,-11.476,1,0.849,2.1e-06,0.0974,0.701,93.551,128040,4
12,Born to Run,0.253,0.868,4,-9.773,1,0.0511,0.0,0.214,0.68,146.647,269200,4
13,My Generation - Original Mono Version,0.332,0.822,0,-6.558,0,0.165,9.33e-05,0.161,0.745,96.253,197320,4
14,Love Will Tear Us Apart,0.443,0.956,2,-6.198,1,5.24e-05,0.825,0.135,0.909,146.754,206867,4
15,God Only Knows - Mono / 1997 Remastered,0.521,0.487,6,-7.525,0,0.253,0.0,0.0579,0.483,117.072,173040,4
16,(Sittin' On) the Dock of the Bay,0.484,0.312,2,-13.522,1,0.724,1.65e-06,0.0601,0.598,205.981,166827,4
17,Hey Ya! - Radio Mix / Club Mix,0.719,0.967,0,-2.435,1,0.0588,0.000249,0.206,0.964,79.505,235213,4
18,Anarchy In The UK - Remastered 2012,0.359,0.949,0,-7.649,1,0.0556,0.000396,0.236,0.212,134.118,212480,4
19,Paper Planes,0.541,0.854,2,-6.196,1,0.0254,0.000125,0.651,0.454,86.044,205200,4
20,London Calling,0.653,0.797,0,-6.958,1,0.0738,0.0,0.0847,0.726,133.725,199733,4
21,Sympathy For The Devil,0.566,0.673,9,-10.814,1,0.565,1.13e-06,0.0438,0.583,114.385,377747,4
22,Strawberry Fields Forever - Remastered,0.39,0.502,10,-12.277,1,0.336,0.000138,0.0713,0.289,97.871,247320,4
23,Tutti Frutti,0.532,0.591,0,-3.81,0,0.782,0.0,0.0647,0.962,184.4,146640,4
24,Stairway To Heaven,0.346,0.335,7,-12.453,1,0.575,0.00674,0.185,0.213,84.204,478173,4
25,The Message (feat. Melle Mel & Duke Bootee),0.947,0.607,10,-10.58,0,0.0249,4.76e-06,0.0861,0.732,100.619,431800,4
26,What'd I Say,0.506,0.618,4,-11.278,1,0.657,2.31e-05,0.248,0.789,89.023,386560,4
27,Imagine - Remastered 2010,0.547,0.257,0,-12.358,1,0.907,0.183,0.0935,0.169,75.752,187867,4
28,A Change Is Gonna Come,0.214,0.4,10,-10.042,1,0.756,0.0,0.325,0.508,169.683,191160,3
29,Heroes - 1999 Remaster,0.478,0.774,7,-6.977,1,0.000265,0.585,0.191,0.429,112.577,370373,4
30,When Doves Cry,0.729,0.989,9,-4.613,0,0.0102,4.45e-05,0.443,0.84,126.47,352906,4
31,Superstition,0.609,0.657,1,-11.496,1,0.0308,0.00221,0.071,0.872,100.607,266160,4
32,Common People,0.319,0.839,0,-7.341,1,0.00596,7.99e-05,0.0764,0.538,144.938,350373,4
33,Gimme Shelter,0.63,0.616,1,-8.128,0,0.463,0.0408,0.173,0.509,118.65,270773,4
34,Strange Fruit,0.304,0.104,10,-15.835,0,0.963,0.000291,0.177,0.0608,81.02,189360,3
35,You Really Got Me,0.571,0.908,1,-8.208,1,0.412,1.19e-06,0.0802,0.958,137.43,133573,4
36,Crazy In Love (feat. Jay-Z),0.646,0.77,2,-6.596,0,0.00249,0.0,0.0715,0.681,99.165,236133,4
37,Seven Nation Army,0.745,0.466,4,-7.62,0,0.00666,0.35,0.272,0.303,123.889,231920,4
38,Losing My Religion,0.672,0.841,9,-5.992,0,0.0767,0.0,0.135,0.82,125.437,267733,4
39,God Save The Queen,0.304,0.901,9,-7.756,1,0.00105,0.000376,0.158,0.541,147.199,199453,4
40,Bohemian Rhapsody - Remastered 2011,0.414,0.404,0,-9.928,0,0.271,0.0,0.3,0.224,71.105,354320,4
41,Blue Monday,0.757,0.758,0,-7.873,1,0.00708,0.831,0.112,0.918,130.505,447013,4
42,Purple Haze,0.533,0.905,2,-5.27,1,0.00876,0.578,0.0698,0.486,108.9,170813,4
43,Louie Louie,0.623,0.709,1,-9.818,0,0.102,0.0,0.0967,0.948,122.394,165381,4
44,I Want You Back,0.639,0.548,8,-13.534,1,0.29,9.68e-05,0.366,0.887,98.359,176333,4
45,Crazy,0.855,0.587,8,-4.589,1,0.0505,0.00714,0.105,0.64,111.97,177466,4
